Source,Name,Label,type
"contract CON1 {
mapping(address => uint) VAR1;
function FUN1() public returns (bool) {
uint VAR2 = VAR1[msg.sender];
VAR1[msg.sender] = 0;
if (msg.sender.call.value(VAR2)()) {
return true;
} else {
VAR1[msg.sender] = VAR2;
return false;
}
}
}",14.sol,0,delegatecall
"contract CON1 {
function FUN1(bytes VAR1) external returns (bool VAR2) {
if (!address(this).delegatecall(VAR1)) {
return false;
}
return true;
}
}",50045.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, bytes32 VAR2) {
if (VAR2=='') { throw; }
if (!VAR1.delegatecall(VAR2)){ throw; }
}
}",40204.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1) public returns (bool){
bytes4 VAR2 = bytes4(keccak256(""inc(uint256)""));
return VAR1.delegatecall(VAR2, 2);
}
}",16372.sol,1,delegatecall
"contract CON1 {
address public VAR1;
modifier FUN1() {
require(VAR1==msg.sender);
_;
}
function FUN2(address VAR2) FUN1 {
VAR2.delegatecall(msg.data);
}
}",50032.sol,0,delegatecall
"contract CON1 {
address VAR1 = 0x29999;
function FUN1(address VAR2) external {
require(VAR1 == msg.sender);
require(VAR2.delegatecall(bytes4(keccak256(""initialize()""))));
}
}",50033.sol,0,delegatecall
"contract CON1 {
address public VAR1;
uint public VAR2;
uint public VAR3;
bytes4 constant VAR4 = bytes4(sha3(""setFibonacci(uint256)""));
function FUN1() {
VAR3 += 1;
require(VAR1.delegatecall(VAR4, VAR3));
msg.sender.transfer(VAR2 * 1 ether);
}
}",50007.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint VAR2) public returns(bool) {
require(block.timestamp > 1601510400);
return true;
}
}",4.sol,0,delegatecall
"contract CON1 {
address VAR1;
function FUN1(address VAR2) public returns (bool VAR3) {
require(VAR1==msg.sender);
if(VAR2.delegatecall(bytes4(keccak256(""execute(address)"")), VAR2)) {
VAR3 = true;
} else {
VAR3 = false;
}
}
}",50042.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2) public {
VAR1 = VAR2;
}
function FUN2() public {
VAR1.delegatecall(bytes4(keccak256(""callMeMaybe()"")));
}
}",50020.sol,1,delegatecall
"contract CON1 {
mapping(address => uint256) private VAR1;
function FUN1() external returns (bool VAR2) {
uint256 VAR3 = VAR1[msg.sender];
VAR1[msg.sender] = 0;
if (!msg.sender.call.value(VAR3)()) { throw; }
VAR2 = true;
}
}",31.sol,0,delegatecall
"contract CON1 {
struct Holder {
uint VAR1;
}
mapping (address => Holder) VAR2;
function FUN1() {
require(VAR2[msg.sender].VAR1 < block.timestamp);
VAR2[msg.sender].VAR1 = 0;
}
}",73.sol,0,delegatecall
"contract CON1 {
struct balanceData {
uint VAR1;
}
mapping(address => balanceData) VAR2;
function FUN1(address VAR3, uint VAR4) public constant returns (bool VAR5) {
if (block.timestamp < 1569974400) {
return false;
}
return true;
}
}",49.sol,0,delegatecall
"contract CON1{
mapping (address => uint256) public VAR1;
address public VAR2;
modifier FUN1() {
require(msg.sender == VAR2);
_;
}
function FUN2(address VAR3,uint256 VAR4) FUN1 public returns (bool) {
if(VAR4 > block.timestamp) {
VAR1[VAR3] = VAR4;
return true;
}
return false;
}
}",59.sol,0,delegatecall
"contract CON1{
address VAR1;
modifier FUN1{
require(VAR1 == msg.sender);
_;
}
function FUN2(address VAR2) external FUN1 {
assembly {
calldatacopy(0, 0, calldatasize())
let success := delegatecall(not(0), VAR2, 0, calldatasize, 0, 0)
returndatacopy(0, 0, returndatasize)
}
}
}",7066.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2, bytes VAR3) public {
require(VAR1==msg.sender);
assembly {
let result := delegatecall(sub(gas, 10000), VAR2, add(VAR3, 0x20), mload(VAR3), 0, 0)
switch result
case 0 { revert(0, returndatasize) }
default { return(0, returndatasize) }
}
}
}",50043.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1) external {
bytes4 VAR2 = bytes4(keccak256(""setData()""));
require(VAR1.delegatecall(VAR2));
}
}",23694.sol,1,delegatecall
"contract CON1 {
mapping(address => bool) VAR1;
uint256 public VAR2;
function FUN1(address VAR3) external {
VAR1[VAR3] = true;
VAR2 = block.timestamp;
}
}",6.sol,0,delegatecall
"contract CON1 {
address VAR1;
modifier FUN1 {
require(msg.sender==VAR1);
_;
}
function FUN2(address VAR2, bytes VAR3) payable public FUN1 {
require(VAR2.delegatecall(VAR3));
}
}",50040.sol,0,delegatecall
"contract CON1 {
mapping (address => uint) public VAR1;
function FUN1() public{
assert(msg.sender.call.value(VAR1[msg.sender])()) ;
VAR1[msg.sender] = 0;
}
}",56.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1) public {
require(VAR1.delegatecall(bytes4(keccak256(""callMeMaybe()""))));
}
}",22943.sol,1,delegatecall
"contract CON1 {
mapping (address => uint) public VAR1;
function FUN1() {
uint VAR2 = VAR1[msg.sender];
VAR1[msg.sender] = 0;
msg.sender.transfer(VAR2);
}
}",13.sol,0,delegatecall
"contract CON1 {
uint256 public VAR1;
}",85.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1) public {
if( !VAR1.delegatecall(bytes4(sha3(""init()""))) ){ revert(); }
}
}",27767.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1,uint256 VAR2) public returns (bool) {
require(VAR1.delegatecall(bytes4(keccak256(""swap(uint256)"")), VAR2));
return true;
}
}",50041.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, bytes VAR2) public payable returns (bool) {
require(VAR1.call.value(msg.value)(VAR2));
return true;
}
}",7.sol,0,delegatecall
"contract CON1 {
address public VAR1;
address public VAR2;
function FUN1(address VAR3) {
require(VAR1==msg.sender);
VAR2=VAR3;
}
function FUN2(uint256 VAR4, uint256 VAR5) public {
VAR2.delegatecall(abi.encodeWithSignature(""add(uint256,uint256)"", VAR4, VAR5));
}
}",50034.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint256 VAR2, bytes VAR3) {
VAR1.delegatecall.gas(VAR2)(VAR3);
}
}",26920.sol,1,delegatecall
"contract CON1 {
mapping(address => uint) public VAR1;
function FUN1() public payable {
uint VAR2 = VAR1[msg.sender];
VAR1[msg.sender] = 0;
msg.sender.call.value(VAR2);
}
}",66.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1,bytes32 VAR2) public {
require(VAR1.delegatecall(VAR2));
}
}",50056.sol,1,delegatecall
"contract CON1{
mapping(address => uint) VAR1;
function FUN1(address VAR2) public {
require(VAR1[VAR2] >= msg.value);
VAR2.delegatecall(msg.value);
}
}",22139.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1,uint256 VAR2) public returns (bool) {
require(VAR1.delegatecall(bytes4(keccak256(""swap(uint256)"")), VAR2));
return true;
}
}",10674.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint256 VAR2, uint256 VAR3) public returns (uint256) {
VAR1.delegatecall(abi.encodeWithSignature(""add(uint256,uint256)"", VAR2, VAR3));
}
}",50021.sol,1,delegatecall
"interface CON1 {
}
contract CON2 {
CON1 VAR1;
function FUN1() public {
if (VAR1.getTimeLeft() > 50) { revert(); }
address(VAR1).call.value(VAR1.getBuyPrice())();
}
}",57.sol,0,delegatecall
"contract CON1 {
function CON1(address VAR1, bytes32 VAR2) public {
require(VAR1 != address(0));
require(VAR1.delegatecall(VAR2));
}
}",13013.sol,1,delegatecall
"contract CON1 {
address VAR1;
modifier FUN1() {
require(msg.sender == VAR1);
_;
}
function FUN2(address VAR2, bytes calldata) public FUN1 returns (bool VAR3) {
return VAR2.delegatecall(calldata);
}
}",23089.sol,0,delegatecall
"contract CON1 {
function FUN1() public {
address VAR1;
bytes memory VAR2 = msg.data;
assembly {
let functionCallSize := mload(VAR2)
let functionCallDataAddress := add(VAR2, 0x20)
let functionCallResult := delegatecall(gas, VAR1, functionCallDataAddress, functionCallSize, 0, 0)
}
}
}",6044.sol,1,delegatecall
"contract CON1 {
}
contract CON2 {
uint256 public VAR1;
function FUN1 (address VAR2) external returns (uint256) {
VAR1 = block.timestamp;
return VAR1;
}
}",41.sol,0,delegatecall
"contract CON1 {
function FUN1() public {
address VAR1;
bytes memory VAR2 = msg.data;
assembly {
let functionCallSize := mload(VAR2)
let functionCallDataAddress := add(VAR2, 0x20)
let functionCallResult := delegatecall(gas, VAR1, functionCallDataAddress, functionCallSize, 0, 0)
let freeMemAddress := mload(0x40)
switch functionCallResult
case 0 {
revert(freeMemAddress, 0)
}
default {
return (freeMemAddress, returndatasize)
}
}
}
}",6043.sol,1,delegatecall
"contract CON1 {
address public VAR1;
address public VAR2;
function FUN1(address VAR3) public {
require(msg.sender==VAR2);
VAR1 = VAR3;
}
function FUN2() {
if(!VAR1.delegatecall(msg.data)) throw;
}
}",50028.sol,0,delegatecall
"contract CON1 {
address VAR1;
modifier FUN1 {
require(VAR1==msg.sender);
_;
}
function FUN2(address VAR2,bytes VAR3) FUN1 {
require(VAR2.delegatecall(VAR3));
}
}",50067.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1() {
if (!VAR1.call.value(this.balance)()) throw;
}
}",81.sol,0,delegatecall
"contract CON1 {
address public VAR1;
modifier FUN1 {
require(msg.sender == VAR1);
_;
}
function FUN2(address VAR2) FUN1 {
if(!VAR2.delegatecall(msg.data)) { throw; }
}
}",50024.sol,0,delegatecall
"contract CON1 {
uint public VAR1;
uint public VAR2;
function FUN1() payable {
require(block.timestamp < VAR2 && VAR1 > 0);
}
}",28.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint VAR2) public returns (bool) {
return VAR1.delegatecall(VAR2);
}
}",50038.sol,1,delegatecall
"contract CON1 {
mapping(address => uint256) public VAR1;
function FUN1() public returns (uint256) {
uint64 VAR2 = uint64(block.VAR2);
require(VAR2 >= 1546300801);
return 0;
}
}",52.sol,0,delegatecall
"contract CON1 {
address VAR1 = 0x8b7d07b6ffB9364e97B89cEA8b84F94249bE459F;
function FUN1() public payable {
require(VAR1.call.value(msg.value)());
}
}",19.sol,0,delegatecall
"contract CON1 {
uint256 public VAR1 = 0;
}",74.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint256 VAR2, uint256 VAR3, bytes VAR4) external payable returns (bool) {
return VAR1.call.value(VAR2).gas(VAR3)(VAR4);
}
}",79.sol,0,delegatecall
"contract CON1 {
address public VAR1;
mapping(address => uint256) public VAR2;
modifier FUN1() {
require(msg.sender == VAR1);
_;
}
function FUN2() public FUN1 returns (uint256) {
uint64 VAR3 = uint64(block.VAR3);
require(VAR3 >= 1546300801);
return VAR2[0x3d220cfDdc45900C78FF47D3D2f4302A2e994370];
}
}",69.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1) public {
assert(VAR1.call.value(this.balance)());
}
}",64.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, bytes memory VAR2) public payable {
if(VAR2.length > 0) {
bool VAR3 = VAR1.delegatecall(VAR2);
require(VAR3);
}
}
}",33741.sol,1,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2) payable {
if(!VAR1.call.value(msg.value)()) revert();
}
}",39.sol,0,delegatecall
"contract CON1 {
uint VAR1;
function FUN1() public returns (uint VAR2) {
while (VAR1 > block.timestamp) {
msg.sender.call.value(VAR2);
}
return VAR2;
}
}",46.sol,0,delegatecall
"contract CON1 {
address public VAR1;
address public VAR2;
modifier FUN1() {
if (msg.sender != VAR2) { throw; }
_;
}
function FUN2(address VAR3) public FUN1 {
VAR1 = VAR3;
}
function FUN3() {
if(!VAR1.delegatecall(msg.data)) throw;
}
}",653.sol,0,delegatecall
"contract CON1{
address public VAR1;
address public VAR2;
uint256 public VAR3 = 111111;
function FUN1(address VAR4) payable {
require(VAR1==msg.sender);
VAR2 = VAR4;
}
function FUN2() payable {
if(msg.value > VAR3) {
VAR2.delegatecall(bytes4(keccak256(""AddToWangDB(address)"")), msg.sender);
}
}
}",50065.sol,0,delegatecall
"contract CON1 {
uint256 public VAR1;
function FUN1(uint256 VAR2) private returns(bool) {
if (VAR1 < VAR2) {
uint256 VAR3 = uint256(keccak256(abi.encodePacked((block.timestamp))));
return VAR3 > 0;
}
}
}",3.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2, bytes32 VAR3) {
require(VAR1==msg.sender);
if (VAR3=='') { throw; }
if (!VAR2.delegatecall(VAR3)){ throw; }
}
}",50068.sol,0,delegatecall
"contract CON1{
address public VAR1;
modifier FUN1 {
require(VAR1==msg.sender);
_;
}
function FUN2(address VAR2)external payable FUN1 {
require(VAR2.delegatecall(bytes4(sha3('deposit(address,uint256)')), 0, msg.value));
}
}",50035.sol,0,delegatecall
"contract CON1{
address public VAR1;
enum HowToCall { Call, DelegateCall }
function FUN1(address VAR2, HowToCall VAR3, bytes calldata) public returns (bool VAR4) {
require(VAR1==msg.sender);
if (VAR3 == HowToCall.DelegateCall) {
VAR4 = VAR2.delegatecall(calldata);
}
return VAR4;
}
}",50039.sol,0,delegatecall
"contract CON1 {
address VAR1;
modifier FUN1 {
require(VAR1==msg.sender);
_;
}
function FUN2(address VAR2, bytes VAR3) external FUN1 returns (bool VAR4){
if (VAR2.delegatecall(VAR3)) {
return false;
}
return true;
}
}",50055.sol,0,delegatecall
"contract CON1 {
mapping(address => uint256) public VAR1;
function FUN1() public {
msg.sender.call.value(VAR1[msg.sender])();
VAR1[msg.sender] = 0;
}
}",82.sol,0,delegatecall
"contract CON1{
address public VAR1;
address public VAR2;
function FUN1(address VAR3) {
require(VAR1 == msg.sender);
VAR2 = VAR3;
}
function FUN2() external {
bytes memory VAR4 = msg.VAR4;
VAR2.delegatecall(VAR4);
}
}",50022.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2) payable {
require(VAR1==msg.sender);
if (msg.data.length > 0)
VAR2.delegatecall(msg.data);
}
}",50051.sol,0,delegatecall
"contract CON1 {
address VAR1;
address VAR2;
function FUN1(address VAR3) public {
require(msg.sender == VAR2);
VAR1 = VAR3;
}
function FUN2(bytes VAR4) public {
require(VAR1.delegatecall(VAR4));
}
}",12692.sol,0,delegatecall
"contract CON1 {
uint public VAR1 = 0;
function FUN1() public returns(uint){
VAR1 = block.timestamp;
return VAR1;
}
}",33.sol,0,delegatecall
"contract CON1{
uint256 public VAR1= 1000000000000000001;
function FUN1(address VAR2) payable public {
if(msg.value > VAR1){
VAR2.delegatecall(bytes4(sha3(""logEvent()"")));
}
}
}",50054.sol,1,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2, bytes32 VAR3) {
require(VAR1 == msg.sender);
VAR2.delegatecall(VAR3);
}
}",592.sol,0,delegatecall
"contract CON1 {
}
contract CON2 {
mapping (address => uint) VAR1;
function FUN1() public payable {
CON1 VAR2 = CON1(address(0xA62142888ABa8370742bE823c1782D17A0389Da1));
require(address(0xA62142888ABa8370742bE823c1782D17A0389Da1).call.value(msg.value)());
VAR1[0xA62142888ABa8370742bE823c1782D17A0389Da1] = 0;
}
}",58.sol,0,delegatecall
"contract CON1 {
uint public VAR1 = 10;
function FUN1(uint256 VAR2) public returns (uint) {
if(VAR1 > 1) {
require(VAR1 == 1);
} else {
VAR1 = block.timestamp;
}
return VAR1;
}
}",75.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint256 VAR2, address VAR3) external returns(uint256) {
VAR1.delegatecall(abi.encodeWithSignature(""sellRewardForWeth(address,uint256,address)"", VAR1, VAR2, VAR3));
}
}",50003.sol,1,delegatecall
"contract CON1{
address VAR1;
function FUN1(address VAR2) external payable{
VAR1 = VAR2;
VAR1.delegatecall(msg.data);
}
}",9326.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1) external {
assembly {
let results := delegatecall(gas, VAR1, 0, calldatasize, 0, 0)
returndatacopy(0, 0, returndatasize)
}
}
}",50006.sol,1,delegatecall
"contract CON1 {
mapping(bytes4 => address) public VAR1;
function FUN1() {
if (!VAR1[msg.sig].delegatecall(msg.data)) { throw; }
}
}",2025.sol,1,delegatecall
"contract CON1 {
uint64 public VAR1;
function FUN1() payable public {
if (VAR1 > 1514764800) {
require(VAR1 > block.timestamp);
}
}
}",1.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, bytes VAR2) {
require(VAR1.delegatecall(VAR2));
}
}",33930.sol,1,delegatecall
"contract CON1 {
address public VAR1;
modifier FUN1 {
require(msg.sender==VAR1);
_;
}
function FUN2(address VAR2) payable FUN1 {
if (msg.data.length > 0)
VAR2.delegatecall(msg.data);
}
}",50058.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1) public returns (bool) {
return VAR1.delegatecall(msg.data);
}
}",7003.sol,1,delegatecall
"contract CON1{
mapping(address => uint) public VAR1;
address VAR2 = msg.sender;
function FUN1() {
if(VAR1[VAR2] == 0) throw;
uint VAR3 = VAR1[VAR2];
delete VAR1[VAR2];
if(!(VAR2.call.value(VAR3)())) throw;
}
}",36.sol,0,delegatecall
"contract CON1 {
address VAR1;
function FUN1(uint256 VAR2) public returns (bool) {
require(VAR1.delegatecall(bytes4(keccak256(""swap(uint256)"")), VAR2));
return true;
}
}",10675.sol,1,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2, bytes memory VAR3) public payable {
require(VAR1==msg.sender);
if(VAR3.length > 0) {
bool VAR4 = VAR2.delegatecall(VAR3);
require(VAR4);
}
}
}",50066.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint VAR2, bytes VAR3) external {
require(VAR1.call.VAR2(VAR2)(VAR3));
}
}",24.sol,0,delegatecall
"contract CON1 {
bytes4 constant VAR1 = bytes4(sha3(""set_start(uint256)""));
function FUN1(address VAR2, uint VAR3) {
VAR2.delegatecall(VAR1, VAR3);
}
}",50019.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1) external {
require(VAR1.delegatecall(bytes4(keccak256(""initialize()""))));
}
}",2349.sol,1,delegatecall
"contract CON1 {
address VAR1;
address VAR2;
modifier FUN1 {
require(msg.sender == VAR2);
_;
}
function FUN2(address VAR3) public FUN1 {
VAR1 = VAR3;
}
function FUN3(bytes VAR4) public {
require(VAR1.delegatecall(VAR4));
}
}",510.sol,0,delegatecall
"contract CON1 {
mapping(address => TimeEnvoy) internal VAR1;
struct TimeEnvoy {
uint VAR2;
uint VAR3;
}
}",27.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1(address VAR2) public returns (bool){
require(VAR1==msg.sender);
bytes4 VAR3 = bytes4(keccak256(""inc(uint256)""));
return VAR2.delegatecall(VAR3, 2);
}
}",50049.sol,0,delegatecall
"contract CON1{
mapping(uint => address) VAR1;
function FUN1(uint VAR2, bytes32 VAR3) public {
VAR1[VAR2].delegatecall(VAR3);
}
}",3541.sol,1,delegatecall
"contract CON1 {
uint256 public VAR1;
}",23.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, bytes VAR2) payable public {
require(VAR1.delegatecall(VAR2));
}
}",10615.sol,1,delegatecall
"contract CON1 {
address VAR1;
function FUN1(bytes VAR2) external returns (bool VAR3) {
if (msg.sender != VAR1) {
return false;
}
if (!address(this).delegatecall(VAR2)) {
return false;
}
return true;
}
}",13000.sol,0,delegatecall
"contract CON1 {
struct Crowdsale {
uint256 VAR1;
}
mapping(address => Crowdsale) public VAR2;
function FUN1(address VAR3) external {
require((block.timestamp >= VAR2[VAR3].VAR1));
}
}",11.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint VAR2) public payable {
VAR1.delegatecall(abi.encodeWithSignature(""setVars(uint256)"", VAR2));
}
}",50008.sol,1,delegatecall
"contract CON1 {
uint public VAR1 = 0;
function FUN1() external returns(bool){
assert(block.timestamp >= VAR1);
return true;
}
}",37.sol,0,delegatecall
"contract CON1 {
address public VAR1;
modifier FUN1 {
require(VAR1==msg.sender);
_;
}
function FUN2(address VAR2, bytes VAR3) public FUN1 {
assembly {
let result := delegatecall(sub(gas, 10000), VAR2, add(VAR3, 0x20), mload(VAR3), 0, 0)
}
}
}",50044.sol,0,delegatecall
"contract CON1 {
function FUN1(uint VAR1) public {
if (!address(this).delegatecall(0x21835af6, VAR1 - 1)) throw;
}
}",40433.sol,1,delegatecall
"contract CON1 {
uint256 public VAR1;
function FUN1() public constant returns(uint256) {
assert(block.timestamp >= VAR1);
return VAR1;
}
}",54.sol,0,delegatecall
"contract CON1 {
function FUN1() public {
assembly {
let result := delegatecall(gas, 0x0D6C969d0004B431189f834203CE0f5530e06259, 0, calldatasize, 0, 0)
switch result
case 0 { revert(0, returndatasize) }
default { return(0, returndatasize) }
}
}
}",1517.sol,0,delegatecall
"contract CON1 {
uint64 public VAR1 = 0;
function FUN1(uint256 VAR2) private {
if (block.timestamp <= VAR1) {
require(VAR2 == 0.64 ether);
}
else {
require(VAR2 == 0.99 ether);
}
}
}",55.sol,0,delegatecall
"contract CON1 {
address VAR1;
modifier FUN1 {
require(msg.sender==VAR1);
_;
}
function FUN2(address VAR2) public FUN1 {
require(VAR2.delegatecall(msg.data));
}
}",50026.sol,0,delegatecall
"contract CON1 {
uint public VAR1;
uint public VAR2;
function FUN1() payable returns (bool){
require(block.timestamp < VAR2 && VAR1 > 0);
return true;
}
}",50.sol,0,delegatecall
"contract CON1 {
mapping (address => address) private VAR1;
modifier FUN1(){
require(VAR1[address(this)] != 0);
_;
}
function FUN2(address VAR2) FUN1 {
VAR1[address(this)] = VAR2;
}
function FUN3(address VAR3) public {
VAR1[VAR3] = VAR1[address(this)];
VAR1[VAR3].delegatecall(msg.data);
}
}",50012.sol,0,delegatecall
"contract CON1 {
uint256 public VAR1 = 0;
function FUN1(uint256 VAR2) external returns (bool){
require(block.timestamp > VAR1);
require(VAR2 > 0);
return true;
}
}",71.sol,0,delegatecall
"contract CON1{
address public VAR1;
function FUN1(address VAR2) public {
require(VAR1==msg.sender);
if (msg.value > 0){
VAR2.delegatecall(msg.value);
} else {
revert();
}
}
}",50052.sol,0,delegatecall
"contract CON1 {
uint256 private VAR1;
function FUN1() public {
require(VAR1 < block.timestamp);
}
}",32.sol,0,delegatecall
"contract CON1 {
address VAR1 = msg.sender;
function FUN1(uint VAR2, address VAR3) payable {
if(msg.sender != address(this)) throw;
if(!VAR3.call.value(VAR2)()) { throw; }
}
}",34.sol,0,delegatecall
"contract CON1 {
address public VAR1;
address public VAR2;
uint256 public VAR3 = 10;
modifier FUN1() {
require(msg.sender == VAR1);
_;
}
function FUN2(address VAR4) payable FUN1 {
VAR2 = VAR4;
}
function FUN3(address VAR5) payable {
VAR5 = VAR2;
if(msg.value > VAR3) {
VAR5.delegatecall(bytes4(keccak256(""AddToWangDB(address)"")), msg.sender);
}
}
}",33425.sol,0,delegatecall
"contract CON1 {
function FUN1(uint VAR1) constant public returns(uint) {
return uint(keccak256(block.timestamp, block.difficulty)) ^ VAR1;
}
}",61.sol,0,delegatecall
"contract CON1{
function FUN1(address VAR1, bytes memory VAR2) public {
require(VAR1.delegatecall(VAR2));
}
}",22370.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1) public returns (bool VAR2) {
if(VAR1.delegatecall(bytes4(keccak256(""execute(address)"")), VAR1)) {
VAR2 = true;
} else {
VAR2 = false;
}
}
}",10726.sol,1,delegatecall
"contract CON1 {
uint256 public VAR1;
function FUN1() public returns (bool) {
require(block.timestamp >= VAR1);
return true;
}
}",67.sol,0,delegatecall
"contract CON1 {
address public VAR1;
modifier FUN1() {
require(msg.sender == VAR1);
_;
}
function FUN2(address VAR2, uint256 VAR3, bytes VAR4) external FUN1 returns (bool){
return VAR2.call.value(VAR3)(VAR4);
}
}",30.sol,0,delegatecall
"contract CON1 {
address public VAR1;
address public VAR2;
modifier FUN1() {
require(msg.sender == VAR1);
_;
}
function FUN2(address VAR3) public FUN1 {
VAR2 = VAR3;
}
function FUN3() public payable {
if(!VAR2.delegatecall(msg.data)) revert();
}
}",14070.sol,0,delegatecall
